Dwell,Music,Dwell:Music,Dwell:B1,Music:B1,Music:FirstCysto
1.9595331879457165e-5,8.178070811555278e-14,0.12351096958255531,0.004368193622941611,4.056448464008621e-30,0.4945582060462282
9.889672342081076e-6,1.7895119191193468e-11,8.130883854737404e-4,0.035470082397450725,3.650161659289662e-16,0.0031256512244338787
5.444627632108852e-7,3.028267313062073e-11,3.574369247322205e-4,2.4524802952101133e-4,3.528754851608609e-21,0.0030984224187270626
1.8287224190731022e-6,2.1421922033568064e-8,0.014706772431458156,0.0033695857129849346,1.1726859556800605e-18,1.1536873809497729e-4
0.006870524450775625,1.4931800559052925e-17,0.006846042481467521,0.0010604628886413312,1.542648242929228e-28,0.6647142193590984
2.245886862437258e-4,1.6774085823415728e-10,0.03474277239295197,2.9372524726243274e-6,6.113415252835909e-17,2.3480215034981012e-4
7.486440032116028e-6,3.3629091292046927e-9,0.03959675405589654,5.934354833284756e-5,3.8187432806795406e-19,9.785107058189555e-7
0.003466779187017397,2.108384863582339e-12,0.005661719633690381,5.035673524734989e-4,6.654928155511555e-23,6.11589562885146e-5
0.004074722001219305,4.793634246842841e-10,0.018764463979239945,0.00804467111074953,6.147933653136817e-21,3.861868527849895e-5
7.924147804778018e-5,5.247857688709117e-15,0.009188657411318251,0.002483873375263468,9.64142797394988e-21,0.0027332974113959303
5.094738090771852e-4,9.729225658659497e-10,0.009563644835686792,5.291298206615108e-4,9.404431245146553e-20,6.438472790777388e-4
1.063773376179618e-7,2.2243592900781277e-12,5.140543966685448e-5,1.343691799529081e-5,2.898829432639302e-13,0.005944208062310881
0.002555126447930957,3.454420430630941e-8,0.06877269880276039,1.117798958212802e-5,9.361145440445429e-20,0.0022072916176364274
3.511634380887045e-4,1.88228486912986e-10,0.004602887712872092,0.11680931373173227,2.982019907081977e-20,4.118649991373022e-4
0.02365219838056452,6.517835556521492e-7,0.23661207176758597,0.0026964500348307828,5.689535861717257e-25,5.066400041915153e-7
1.6346633349558065e-4,7.825891384444993e-10,0.006077931897220664,0.0015016146157417324,8.453402684076373e-23,3.713737911034346e-5
0.005984223736604262,7.800102069434727e-9,0.013325560940700492,0.0014101808587261469,3.2972519585131673e-15,5.431442261127683e-5
2.6008760306646476e-4,4.237155439822366e-14,0.005952272382814955,7.811617912729963e-4,3.255576812667965e-27,0.0010435768374489913
0.0036232428025139373,4.6447748491495e-15,3.2776284882139484e-5,0.011368458414680354,1.839539489919973e-19,0.018894902759615476
0.0036028349366053775,4.982690741801251e-13,0.0010099676200473525,0.0011373884839984858,5.230032902555456e-26,1.8811808875440018e-4
2.0475639589263042e-6,1.3673126834280457e-8,0.007751065215655383,2.7004941713288117e-5,1.3605918616932306e-20,8.530777156498859e-4
2.3176444475158267e-4,2.2964941814946765e-12,9.121681373328389e-4,1.7471145814844578e-4,2.641097714854213e-22,0.0013217755550528737
2.7786518473120844e-4,1.834511494503984e-8,0.020883762124849835,0.0010555981138168932,2.0303936454408708e-19,1.5199678072999723e-4
4.172150767892563e-5,1.5864854180290216e-12,0.01119954798085572,7.530053969127315e-8,1.3870406675267288e-15,2.0427811771047107e-5
0.017451236715022016,1.9074942850492586e-6,0.13667830158854502,0.020215853628554794,1.4257526175415115e-24,7.824175258560203e-7
6.335121583187154e-4,2.617040211365921e-11,0.031389660702641806,0.0022751577922434005,1.0529972504072674e-21,3.765811365080059e-4
1.6549000774152305e-5,9.890941335012472e-16,2.0547755668057653e-4,8.960095739409058e-5,1.034104862896096e-26,7.091857036781512e-6
3.0986200850737953e-4,8.218797987395406e-13,0.018661964408254388,5.538458037353547e-5,2.143456064763834e-20,0.05558095818750679
3.0760253793324973e-4,9.785544964451719e-11,0.08495006034824606,4.211992292084334e-6,2.506868378275468e-22,0.0016352222010345696
1.2924773057994357e-5,2.0947587783648715e-16,3.6347323700344254e-4,0.003597986375415363,6.650957241486983e-21,0.004702127059117028
9.324729610588547e-6,4.365394902674459e-10,0.03174842997608776,2.1207863524025718e-5,6.450511008094811e-19,2.4075466137661282e-4
0.0011253957017779718,5.107994969456269e-15,0.012287812162175097,0.007160099561877713,2.6799041218556347e-34,0.006044570622000957
2.2695782324167325e-4,8.893107427607042e-10,0.05213457888483941,4.071221939718565e-5,3.74354232449025e-16,0.005787873506646065
0.0016970943475044852,6.05257610199921e-15,0.016369995461740956,0.001817249948141504,1.4263136117471743e-20,0.0019583013673603626
